2024-11-13 21:06:14.834 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[xiaohashu-oss] & group[DEFAULT_GROUP]
2024-11-13 21:06:14.908 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[xiaohashu-oss.yaml] & group[DEFAULT_GROUP]
2024-11-13 21:06:15.020 [main] INFO  com.alibaba.nacos.client.config.utils.JvmUtil - isMultiInstance:false
2024-11-13 21:06:15.027 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-xiaohashu-oss-dev.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-xiaohashu-oss.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-xiaohashu-oss,DEFAULT_GROUP'}]
2024-11-13 21:06:15.033 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2024-11-13 21:06:15.034 [main] INFO  c.a.xiaohashu.oss.biz.XiaohashuOssBizApplication - The following 1 profile is active: "dev"
2024-11-13 21:06:15.567 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=f74d5694-5b73-33fe-b397-17e4ea666ab6
2024-11-13 21:06:15.795 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2024-11-13 21:06:15.803 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-11-13 21:06:15.803 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2024-11-13 21:06:15.866 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-13 21:06:15.866 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 816 ms
2024-11-13 21:06:15.920 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'fileController': Injection of resource dependencies failed
2024-11-13 21:06:15.920 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-11-13 21:06:15.930 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-11-13 21:06:15.951 [main] ERROR o.s.b.diagnostics.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

A component required a bean of type 'com.arnanzz.xiaohashu.oss.biz.service.FileService' that could not be found.


Action:

Consider defining a bean of type 'com.arnanzz.xiaohashu.oss.biz.service.FileService' in your configuration.

2024-11-13 21:06:15.952 [Thread-2] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2024-11-13 21:06:15.952 [Thread-9] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2024-11-13 21:06:15.952 [Thread-9] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2024-11-13 21:06:15.953 [Thread-2] WARN  c.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2024-11-13 21:08:36.200 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2024-11-13 21:08:36.259 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2024-11-13 21:08:36.477 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2024-11-13 21:08:36.478 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - [settings] [req-serv] nacos-server port:8848
2024-11-13 21:08:36.478 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - [settings] [http-client] connect timeout:1000
2024-11-13 21:08:36.479 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - PER_TASK_CONFIG_SIZE: 3000.0
2024-11-13 21:08:36.500 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2024-11-13 21:08:36.500 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2024-11-13 21:08:36.502 [main] INFO  c.a.n.client.auth.ram.identify.CredentialWatcher - null No credential found
2024-11-13 21:08:36.861 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2024-11-13 21:08:36.871 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:C:\Users\xu\nacos\config
2024-11-13 21:08:36.874 [main] INFO  com.alibaba.nacos.common.remote.client - [RpcClientFactory] create a new rpc client of 08354225-e775-40e3-9c7d-da8ea6026617_config-0
2024-11-13 21:08:36.893 [main] INFO  com.alibaba.nacos.common.remote.client - [08354225-e775-40e3-9c7d-da8ea6026617_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$587/0x0000000800f8f410
2024-11-13 21:08:36.893 [main] INFO  com.alibaba.nacos.common.remote.client - [08354225-e775-40e3-9c7d-da8ea6026617_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$588/0x0000000800f8f830
2024-11-13 21:08:36.894 [main] INFO  com.alibaba.nacos.common.remote.client - [08354225-e775-40e3-9c7d-da8ea6026617_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
2024-11-13 21:08:36.894 [main] INFO  com.alibaba.nacos.common.remote.client - [08354225-e775-40e3-9c7d-da8ea6026617_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
2024-11-13 21:08:36.900 [main] INFO  com.alibaba.nacos.common.remote.client - [08354225-e775-40e3-9c7d-da8ea6026617_config-0] Try to connect to server on start up, server: {serverIp = '192.168.117.200', server main port = 8848}
